,code,buy_date,sell_date,buy_price,sell_price,buy_type,sell_type,profit_pct
81,000617.XSHE,2023-02-21,2023-02-22,5.8,5.76,创新高买入,止损卖出,-0.69
82,000626.XSHE,2023-06-02,2023-06-06,7.21,7.32,创新高买入,止损卖出,1.53
83,000630.XSHE,2023-05-16,2023-05-17,2.99,2.92,创新高买入,开盘卖出,-2.34
84,000633.XSHE,2023-06-13,2023-06-14,7.27,7.16,创新高买入,止损卖出,-1.51
85,000657.XSHE,2023-03-14,2023-03-15,10.57,10.35,创新高买入,止损卖出,-2.08
86,000659.XSHE,2023-12-13,2023-12-14,2.56,2.51,创新高买入,止损卖出,-1.95
87,000678.XSHE,2023-02-21,2023-02-22,6.51,6.45,创新高买入,止损卖出,-0.92
88,000681.XSHE,2023-08-23,2023-08-25,15.68,15.16,创新高买入,开盘卖出,-3.32
89,000683.XSHE,2023-04-07,2023-04-10,8.26,8.12,创新高买入,止损卖出,-1.69
90,000683.XSHE,2023-12-20,2023-12-21,5.83,5.76,创新高买入,开盘卖出,-1.2
91,000690.XSHE,2023-06-20,2023-06-29,6.68,6.97,创新高买入,开盘卖出,4.34
92,000690.XSHE,2023-08-25,2023-08-29,6.0,5.93,创新高买入,止损卖出,-1.17
93,000695.XSHE,2023-05-12,2023-05-15,14.16,13.75,创新高买入,止损卖出,-2.9
94,000703.XSHE,2023-04-26,2023-04-27,7.92,7.72,创新高买入,止损卖出,-2.53
95,000708.XSHE,2023-08-25,2023-08-29,14.37,14.53,创新高买入,止损卖出,1.11
96,000715.XSHE,2023-05-11,2023-05-15,7.3,7.3,创新高买入,止损卖出,0.0
97,000722.XSHE,2023-09-25,2023-09-26,10.29,10.13,创新高买入,开盘卖出,-1.55
98,000723.XSHE,2023-06-16,2023-06-20,6.82,6.74,创新高买入,开盘卖出,-1.17
99,000731.XSHE,2023-08-25,2023-08-29,7.5,7.51,创新高买入,止损卖出,0.13
100,000733.XSHE,2023-08-01,2023-08-03,89.48,89.71,创新高买入,止损卖出,0.26
101,000733.XSHE,2023-12-12,2023-12-14,59.9,60.25,创新高买入,止损卖出,0.58
102,000733.XSHE,2023-12-22,2023-12-26,57.09,57.61,创新高买入,止损卖出,0.91
103,000736.XSHE,2023-08-28,2023-08-29,14.49,14.0,创新高买入,止损卖出,-3.38
104,000738.XSHE,2023-01-18,2023-02-02,24.04,25.79,创新高买入,止损卖出,7.28
105,000738.XSHE,2023-12-12,2023-12-14,19.5,19.41,创新高买入,止损卖出,-0.46
106,000757.XSHE,2023-04-13,2023-04-14,4.25,4.13,创新高买入,开盘卖出,-2.82
107,000762.XSHE,2023-08-18,2023-08-21,27.26,26.63,创新高买入,止损卖出,-2.31
108,000766.XSHE,2023-09-27,2023-10-10,11.24,13.26,创新高买入,止损卖出,17.97
109,000777.XSHE,2023-08-04,2023-08-09,13.75,13.85,创新高买入,止损卖出,0.73
110,000786.XSHE,2023-11-01,2023-11-08,24.62,25.26,创新高买入,止损卖出,2.6
111,000790.XSHE,2023-06-30,2023-07-06,5.26,5.4,创新高买入,止损卖出,2.66
112,000798.XSHE,2023-12-22,2023-12-25,8.74,8.59,创新高买入,止损卖出,-1.72
113,000799.XSHE,2023-03-22,2023-03-23,127.86,124.31,创新高买入,开盘卖出,-2.78
114,000799.XSHE,2023-10-23,2023-10-24,75.75,73.61,创新高买入,止损卖出,-2.83
115,000801.XSHE,2023-12-12,2023-12-14,8.26,8.12,创新高买入,止损卖出,-1.69
116,000802.XSHE,2023-07-25,2023-07-26,8.87,8.4,创新高买入,开盘卖出,-5.3
117,000807.XSHE,2023-05-16,2023-05-17,12.81,12.72,创新高买入,止损卖出,-0.7
118,000807.XSHE,2023-05-29,2023-05-30,12.32,12.05,创新高买入,止损卖出,-2.19
119,000807.XSHE,2023-12-07,2023-12-08,11.79,11.6,创新高买入,止损卖出,-1.61
120,000811.XSHE,2023-09-06,2023-09-08,15.07,14.82,创新高买入,开盘卖出,-1.66
121,000818.XSHE,2023-06-13,2023-06-19,32.03,33.46,创新高买入,止损卖出,4.46
122,000819.XSHE,2023-02-21,2023-02-23,23.27,23.52,创新高买入,止损卖出,1.07
123,000819.XSHE,2023-03-22,2023-03-23,21.0,20.33,创新高买入,开盘卖出,-3.19
124,000821.XSHE,2023-04-26,2023-04-28,18.78,18.73,创新高买入,止损卖出,-0.27
125,000823.XSHE,2023-04-20,2023-04-21,10.34,10.07,创新高买入,止损卖出,-2.61
126,000829.XSHE,2023-05-11,2023-05-12,9.9,9.76,创新高买入,止损卖出,-1.41
127,000830.XSHE,2023-04-25,2023-04-26,11.19,10.76,创新高买入,止损卖出,-3.84
128,000830.XSHE,2023-05-09,2023-05-10,10.64,10.54,创新高买入,止损卖出,-0.94
129,000831.XSHE,2023-05-09,2023-05-11,32.21,32.96,创新高买入,止损卖出,2.33
130,000838.XSHE,2023-10-12,2023-10-13,3.31,3.26,创新高买入,止损卖出,-1.51
131,000848.XSHE,2023-04-14,2023-04-17,8.01,7.88,创新高买入,止损卖出,-1.62
132,000858.XSHE,2023-08-17,2023-08-18,167.4,164.5,创新高买入,止损卖出,-1.73
133,000859.XSHE,2023-06-13,2023-06-14,4.74,4.67,创新高买入,止损卖出,-1.48
134,000860.XSHE,2023-06-02,2023-06-05,32.1,31.05,创新高买入,止损卖出,-3.27
135,000876.XSHE,2023-12-05,2023-12-06,9.4,9.18,创新高买入,开盘卖出,-2.34
136,000876.XSHE,2023-12-07,2023-12-11,9.66,9.36,创新高买入,开盘卖出,-3.11
137,000878.XSHE,2023-05-04,2023-05-05,12.15,11.91,创新高买入,止损卖出,-1.98
138,000878.XSHE,2023-05-16,2023-05-17,11.42,11.28,创新高买入,开盘卖出,-1.23
139,000882.XSHE,2023-12-22,2023-12-25,1.73,1.68,创新高买入,开盘卖出,-2.89
140,000892.XSHE,2023-12-27,2023-12-28,4.2,3.99,创新高买入,止损卖出,-5.0
141,000893.XSHE,2023-09-25,2023-09-26,28.71,28.64,创新高买入,止损卖出,-0.24
142,000899.XSHE,2023-11-24,2023-11-27,8.55,8.36,创新高买入,开盘卖出,-2.22
143,000910.XSHE,2023-04-03,2023-04-06,9.11,9.05,创新高买入,止损卖出,-0.66
144,000913.XSHE,2023-04-07,2023-04-10,22.14,21.51,创新高买入,止损卖出,-2.85
145,000915.XSHE,2023-02-02,2023-02-03,44.4,43.09,创新高买入,止损卖出,-2.95
146,000921.XSHE,2023-07-12,2023-07-20,23.18,25.03,创新高买入,止损卖出,7.98
147,000921.XSHE,2023-09-12,2023-09-13,22.6,22.2,创新高买入,止损卖出,-1.77
148,000927.XSHE,2023-04-03,2023-04-07,2.86,2.98,创新高买入,止损卖出,4.2
149,000928.XSHE,2023-05-30,2023-06-05,8.48,8.8,创新高买入,止损卖出,3.77
150,000928.XSHE,2023-10-12,2023-10-13,6.98,6.87,创新高买入,止损卖出,-1.58
151,000936.XSHE,2023-07-25,2023-07-26,10.9,10.37,创新高买入,止损卖出,-4.86
152,000948.XSHE,2023-12-28,,14.71,,创新高买入,,
153,000950.XSHE,2023-05-30,2023-05-31,7.17,6.83,创新高买入,止损卖出,-4.74
154,000951.XSHE,2023-02-08,2023-02-09,15.22,14.83,创新高买入,止损卖出,-2.56
155,000951.XSHE,2023-04-14,2023-04-19,14.46,14.9,创新高买入,止损卖出,3.04
156,000955.XSHE,2023-12-22,2023-12-25,5.44,5.3,创新高买入,止损卖出,-2.57
157,000957.XSHE,2023-03-16,2023-03-20,11.2,10.91,创新高买入,止损卖出,-2.59
158,000960.XSHE,2023-08-16,2023-08-17,14.75,14.52,创新高买入,开盘卖出,-1.56
159,000963.XSHE,2023-08-04,2023-08-07,41.68,41.0,创新高买入,止损卖出,-1.63
160,000963.XSHE,2023-08-09,2023-08-10,40.7,39.58,创新高买入,止损卖出,-2.75
161,000965.XSHE,2023-05-26,2023-05-30,4.0,3.92,创新高买入,开盘卖出,-2.0
162,000965.XSHE,2023-12-28,,3.09,,创新高买入,,
163,000972.XSHE,2023-03-22,2023-03-23,3.91,3.67,创新高买入,止损卖出,-6.14
164,000975.XSHE,2023-11-10,2023-11-13,12.55,12.43,创新高买入,开盘卖出,-0.96
165,000977.XSHE,2023-07-14,2023-07-19,42.75,46.57,创新高买入,止损卖出,8.94
166,000977.XSHE,2023-09-12,2023-09-13,38.69,37.3,创新高买入,止损卖出,-3.59
167,000980.XSHE,2023-05-22,2023-05-23,2.79,2.74,创新高买入,止损卖出,-1.79
168,000980.XSHE,2023-12-29,,2.99,,创新高买入,,
169,000983.XSHE,2023-01-06,2023-01-16,9.62,10.08,创新高买入,止损卖出,4.78
170,000983.XSHE,2023-10-30,2023-10-31,8.77,8.54,创新高买入,开盘卖出,-2.62
171,000988.XSHE,2023-08-22,2023-08-24,31.79,30.6,创新高买入,止损卖出,-3.74
172,000997.XSHE,2023-10-27,2023-10-30,17.72,17.51,创新高买入,止损卖出,-1.19
173,000998.XSHE,2023-12-07,2023-12-08,15.68,15.34,创新高买入,止损卖出,-2.17
174,000999.XSHE,2023-10-24,2023-10-26,41.68,41.21,创新高买入,开盘卖出,-1.13
175,002001.XSHE,2023-06-02,2023-06-07,14.86,15.01,创新高买入,止损卖出,1.01
176,002006.XSHE,2023-04-25,2023-05-04,20.7,19.7,创新高买入,止损卖出,-4.83
177,002006.XSHE,2023-06-16,2023-06-19,20.33,20.09,创新高买入,止损卖出,-1.18
178,002011.XSHE,2023-10-30,2023-11-09,11.03,12.03,创新高买入,止损卖出,9.07
179,002015.XSHE,2023-01-30,2023-01-31,11.04,10.8,创新高买入,止损卖出,-2.17
180,002015.XSHE,2023-05-16,2023-05-22,13.43,14.27,创新高买入,止损卖出,6.25
181,002015.XSHE,2023-09-11,2023-09-13,11.77,12.22,创新高买入,止损卖出,3.82
182,002019.XSHE,2023-06-09,2023-06-13,13.88,13.79,创新高买入,止损卖出,-0.65
183,002019.XSHE,2023-10-27,2023-11-01,12.31,13.72,创新高买入,止损卖出,11.45
184,002022.XSHE,2023-08-10,2023-08-14,9.39,9.31,创新高买入,开盘卖出,-0.85
185,002026.XSHE,2023-06-12,2023-06-14,8.39,8.62,创新高买入,止损卖出,2.74
186,002028.XSHE,2023-04-12,2023-04-13,42.77,42.27,创新高买入,止损卖出,-1.17
187,002035.XSHE,2023-08-15,2023-08-16,6.1,5.96,创新高买入,止损卖出,-2.3
188,002036.XSHE,2023-05-04,2023-05-05,9.52,9.22,创新高买入,止损卖出,-3.15
189,002036.XSHE,2023-07-31,2023-08-02,11.39,11.36,创新高买入,止损卖出,-0.26
190,002036.XSHE,2023-08-18,2023-08-21,10.22,9.86,创新高买入,开盘卖出,-3.52
191,002036.XSHE,2023-10-26,2023-11-02,9.74,10.36,创新高买入,止损卖出,6.37
192,002038.XSHE,2023-10-30,2023-10-31,12.05,11.9,创新高买入,止损卖出,-1.24
193,002041.XSHE,2023-12-06,2023-12-08,14.64,14.36,创新高买入,止损卖出,-1.91
194,002042.XSHE,2023-11-15,2023-11-23,3.99,4.08,创新高买入,止损卖出,2.26
195,002044.XSHE,2023-10-20,2023-10-24,5.79,5.74,创新高买入,止损卖出,-0.86
196,002048.XSHE,2023-03-16,2023-03-17,14.3,14.03,创新高买入,止损卖出,-1.89
197,002050.XSHE,2023-07-12,2023-07-13,28.11,27.64,创新高买入,止损卖出,-1.67
198,002051.XSHE,2023-10-12,2023-10-13,9.46,9.32,创新高买入,止损卖出,-1.48
199,002055.XSHE,2023-05-04,2023-05-05,8.48,8.13,创新高买入,止损卖出,-4.13
200,002068.XSHE,2023-05-11,2023-05-12,9.93,9.57,创新高买入,止损卖出,-3.63
201,002068.XSHE,2023-08-29,2023-08-31,11.92,12.08,创新高买入,止损卖出,1.34
202,002076.XSHE,2023-03-16,2023-03-17,2.88,2.85,创新高买入,止损卖出,-1.04
203,002079.XSHE,2023-06-12,2023-06-26,11.82,14.75,创新高买入,止损卖出,24.79
204,002080.XSHE,2023-04-25,2023-04-26,20.43,19.19,创新高买入,止损卖出,-6.07
205,002080.XSHE,2023-10-17,2023-10-18,19.09,18.91,创新高买入,止损卖出,-0.94
206,002089.XSHE,2023-03-20,2023-03-22,1.09,1.05,创新高买入,开盘卖出,-3.67
207,002089.XSHE,2023-03-31,2023-04-03,0.98,0.92,创新高买入,开盘卖出,-6.12
208,002089.XSHE,2023-07-07,2023-07-12,1.02,1.05,创新高买入,止损卖出,2.94
209,002092.XSHE,2023-06-15,2023-06-19,6.44,6.52,创新高买入,止损卖出,1.24
210,002096.XSHE,2023-11-20,2023-11-21,9.95,9.83,创新高买入,止损卖出,-1.21
211,002103.XSHE,2023-04-10,2023-04-11,5.82,5.57,创新高买入,止损卖出,-4.3
212,002107.XSHE,2023-06-19,2023-06-20,5.91,5.8,创新高买入,止损卖出,-1.86
213,002110.XSHE,2023-10-26,2023-10-31,4.68,4.75,创新高买入,止损卖出,1.5
214,002119.XSHE,2023-08-15,2023-08-16,12.49,12.3,创新高买入,止损卖出,-1.52
215,002120.XSHE,2023-06-08,2023-06-09,10.13,10.0,创新高买入,止损卖出,-1.28
216,002121.XSHE,2023-03-21,2023-03-23,9.19,8.96,创新高买入,止损卖出,-2.5
217,002122.XSHE,2023-11-24,2023-11-27,4.13,4.03,创新高买入,止损卖出,-2.42
218,002127.XSHE,2023-10-23,2023-10-26,3.29,3.3,创新高买入,止损卖出,0.3
219,002132.XSHE,2023-06-12,2023-06-14,3.43,3.39,创新高买入,止损卖出,-1.17
220,002142.XSHE,2023-04-28,2023-05-08,25.73,27.04,创新高买入,止损卖出,5.09
221,002146.XSHE,2023-03-31,2023-04-03,1.86,1.82,创新高买入,止损卖出,-2.15
222,002146.XSHE,2023-08-16,2023-08-18,2.61,2.51,创新高买入,止损卖出,-3.83
223,002149.XSHE,2023-04-28,2023-05-04,16.24,16.0,创新高买入,止损卖出,-1.48
224,002149.XSHE,2023-06-02,2023-06-06,14.56,14.56,创新高买入,止损卖出,0.0
225,002155.XSHE,2023-07-26,2023-07-28,12.11,12.06,创新高买入,止损卖出,-0.41
226,002162.XSHE,2023-03-09,2023-03-10,4.76,4.68,创新高买入,止损卖出,-1.68
227,002164.XSHE,2023-10-20,2023-10-23,5.14,5.03,创新高买入,止损卖出,-2.14
228,002166.XSHE,2023-04-03,2023-04-06,9.4,9.37,创新高买入,止损卖出,-0.32
229,002172.XSHE,2023-03-09,2023-03-10,3.97,3.9,创新高买入,开盘卖出,-1.76
230,002174.XSHE,2023-02-01,2023-02-06,11.12,11.6,创新高买入,止损卖出,4.32
231,002174.XSHE,2023-07-14,2023-07-17,13.9,13.6,创新高买入,开盘卖出,-2.16
232,002178.XSHE,2023-06-08,2023-06-09,3.75,3.68,创新高买入,止损卖出,-1.87
233,002180.XSHE,2023-03-13,2023-03-15,48.89,47.82,创新高买入,止损卖出,-2.19
234,002180.XSHE,2023-06-29,2023-06-30,34.36,33.76,创新高买入,止损卖出,-1.75
235,002180.XSHE,2023-08-23,2023-08-24,30.37,29.37,创新高买入,止损卖出,-3.29
236,002191.XSHE,2023-06-07,2023-06-14,5.58,5.68,创新高买入,止损卖出,1.79
237,002198.XSHE,2023-08-23,2023-08-24,6.97,6.81,创新高买入,止损卖出,-2.3
238,002215.XSHE,2023-03-09,2023-03-10,6.93,6.87,创新高买入,止损卖出,-0.87
239,002215.XSHE,2023-12-20,2023-12-21,8.46,8.1,创新高买入,止损卖出,-4.26
240,002226.XSHE,2023-12-04,2023-12-05,4.48,4.44,创新高买入,止损卖出,-0.89
241,002229.XSHE,2023-09-18,2023-09-19,37.4,36.11,创新高买入,开盘卖出,-3.45
242,002229.XSHE,2023-10-20,2023-10-23,37.0,33.42,创新高买入,开盘卖出,-9.68
243,002229.XSHE,2023-10-24,2023-10-26,35.06,33.52,创新高买入,开盘卖出,-4.39
244,002229.XSHE,2023-11-24,2023-11-27,33.43,32.43,创新高买入,止损卖出,-2.99
245,002231.XSHE,2023-04-04,2023-04-06,7.46,7.13,创新高买入,止损卖出,-4.42
246,002236.XSHE,2023-05-18,2023-05-22,21.22,21.07,创新高买入,止损卖出,-0.71
247,002236.XSHE,2023-05-31,2023-06-01,19.86,19.09,创新高买入,止损卖出,-3.88
248,002236.XSHE,2023-06-14,2023-06-15,19.95,19.6,创新高买入,止损卖出,-1.75
249,002240.XSHE,2023-03-31,2023-04-03,33.89,33.71,创新高买入,止损卖出,-0.53
250,002242.XSHE,2023-04-07,2023-04-13,15.7,15.86,创新高买入,止损卖出,1.02
251,002245.XSHE,2023-04-21,2023-04-24,13.16,12.61,创新高买入,止损卖出,-4.18
252,002247.XSHE,2023-06-27,2023-07-06,1.89,2.09,创新高买入,止损卖出,10.58
253,002262.XSHE,2023-06-16,2023-06-19,29.62,29.24,创新高买入,止损卖出,-1.28
